date,temp,humid,watersensor
2019-06-15T17:42:58, 18.0*C, 79.0%, 0
2019-06-15T17:43:10, 18.0*C, 79.0%, 0
2019-06-15T17:43:23, 18.0*C, 79.0%, 0
2019-06-16T23:08:13, 18.0*C, 79.0%, 0
2019-06-16T23:49:44, 19.0*C, 82.0%, 0
2019-06-16T23:51:59, 19.0*C, 82.0%, 0
2019-06-17T00:07:03, 19.0*C, 82.0%, 0
2019-06-17T01:07:04, 19.0*C, 82.0%, 63
2019-06-17T02:07:04, 19.0*C, 82.0%, 0
2019-06-17T03:07:04, 19.0*C, 82.0%, 7
2019-06-17T04:07:03, 19.0*C, 83.0%, 53
2019-06-17T05:07:03, 19.0*C, 83.0%, 76
2019-06-17T06:07:04, 19.0*C, 83.0%, 31
2019-06-17T07:07:03, 19.0*C, 83.0%, 12
2019-06-17T08:07:04, 19.0*C, 83.0%, 9
2019-06-17T09:07:04, 19.0*C, 83.0%, 61
2019-06-17T10:07:04, 19.0*C, 83.0%, 61
2019-06-17T11:07:04, 19.0*C, 83.0%, 64
2019-06-17T12:07:04, 19.0*C, 83.0%, 62
2019-06-17T13:07:06, 18.0*C, 82.0%, 0
2019-06-17T14:07:04, 18.0*C, 81.0%, 68
2019-06-17T15:07:03, 18.0*C, 81.0%, 16
2019-06-17T16:07:03, 18.0*C, 82.0%, 72
2019-06-17T17:07:04, 18.0*C, 82.0%, 57
2019-06-17T18:07:04, 18.0*C, 82.0%, 8
2019-06-17T19:07:04, 19.0*C, 82.0%, 72
2019-06-17T20:07:07, 19.0*C, 82.0%, 54
2019-06-17T21:07:03, 18.0*C, 82.0%, 16
2019-06-17T22:07:04, 19.0*C, 82.0%, 74
2019-06-17T23:07:03, 19.0*C, 83.0%, 43
2019-06-18T00:07:09, 19.0*C, 83.0%, 67
2019-06-18T01:07:04, 19.0*C, 83.0%, 64
2019-06-18T02:07:04, 19.0*C, 83.0%, 63
2019-06-18T03:07:04, 19.0*C, 83.0%, 9
2019-06-18T04:07:06, 19.0*C, 84.0%, 59
2019-06-18T05:07:04, 19.0*C, 83.0%, 44
2019-06-18T06:07:04, 19.0*C, 84.0%, 58
2019-06-18T07:07:04, 19.0*C, 83.0%, 24
2019-06-18T08:07:04, 19.0*C, 84.0%, 18
2019-06-18T09:07:07, 19.0*C, 84.0%, 33
2019-06-18T10:07:03, 19.0*C, 83.0%, 65
2019-06-18T11:07:04, 19.0*C, 84.0%, 55
2019-06-18T12:07:04, 19.0*C, 84.0%, 9
2019-06-18T13:07:04, 19.0*C, 84.0%, 63
2019-06-18T14:07:04, 19.0*C, 84.0%, 10
2019-06-18T15:07:06, 19.0*C, 83.0%, 63
2019-06-18T16:07:04, 19.0*C, 83.0%, 3
2019-06-18T17:07:06, 19.0*C, 83.0%, 3
2019-06-18T18:07:03, 19.0*C, 83.0%, 74
2019-06-18T19:07:06, 19.0*C, 83.0%, 0
2019-06-18T20:07:04, 19.0*C, 83.0%, 81
2019-06-18T21:07:03, 19.0*C, 83.0%, 51
2019-06-18T22:07:05, 20.0*C, 86.0%, 62
2019-06-18T23:07:04, 20.0*C, 85.0%, 49
2019-06-19T00:07:04, 20.0*C, 82.0%, 62
2019-06-19T01:07:04, 19.0*C, 77.0%, 327
2019-06-19T02:07:04, 19.0*C, 78.0%, 316
2019-06-19T03:07:06, 19.0*C, 77.0%, 270
2019-06-19T04:07:03, 19.0*C, 77.0%, 298
2019-06-19T05:07:07, 19.0*C, 80.0%, 292
2019-06-19T06:07:09, 19.0*C, 80.0%, 384
2019-06-19T07:07:04, 19.0*C, 80.0%, 396
2019-06-19T08:07:06, 19.0*C, 80.0%, 348
2019-06-19T09:07:04, 19.0*C, 80.0%, 282
2019-06-19T10:07:04, 19.0*C, 80.0%, 102
2019-06-19T11:07:04, 19.0*C, 79.0%, 0
2019-06-19T12:07:04, 19.0*C, 78.0%, 11
2019-06-19T13:07:03, 19.0*C, 78.0%, 0
2019-06-19T14:07:04, 19.0*C, 77.0%, 0
2019-06-19T15:07:06, 19.0*C, 77.0%, 11
2019-06-19T16:07:04, 19.0*C, 77.0%, 24
2019-06-19T17:07:07, 19.0*C, 78.0%, 0
2019-06-19T18:07:04, 19.0*C, 78.0%, 0
2019-06-19T19:07:04, 19.0*C, 78.0%, 0
2019-06-19T20:07:06, 19.0*C, 79.0%, 0
2019-06-19T21:07:04, 19.0*C, 79.0%, 384
2019-06-19T22:07:03, 19.0*C, 86.0%, 396
2019-06-19T23:07:03, 19.0*C, 81.0%, 403
2019-06-20T00:07:04, 18.0*C, 81.0%, 416
2019-06-20T01:07:04, 18.0*C, 81.0%, 399
2019-06-20T02:07:06, 18.0*C, 82.0%, 288
2019-06-20T03:07:07, 18.0*C, 82.0%, 219
2019-06-20T04:07:04, 19.0*C, 82.0%, 0
2019-06-20T05:07:04, 18.0*C, 82.0%, 0
2019-06-20T06:07:06, 18.0*C, 81.0%, 0
2019-06-20T07:07:04, 18.0*C, 81.0%, 0
2019-06-20T08:07:04, 18.0*C, 81.0%, 0
2019-06-20T09:07:04, 18.0*C, 81.0%, 0
2019-06-20T10:07:04, 18.0*C, 80.0%, 0
2019-06-20T11:07:04, 18.0*C, 80.0%, 4
2019-06-20T12:07:04, 18.0*C, 80.0%, 0
2019-06-20T13:07:03, 18.0*C, 79.0%, 0
2019-06-20T14:07:07, 18.0*C, 80.0%, 3
2019-06-20T15:07:04, 18.0*C, 79.0%, 2
2019-06-20T16:07:04, 18.0*C, 77.0%, 2
2019-06-20T17:07:04, 18.0*C, 78.0%, 0
2019-06-20T18:07:06, 18.0*C, 78.0%, 0
2019-06-20T19:07:03, 18.0*C, 78.0%, 4
2019-06-20T20:07:04, 18.0*C, 79.0%, 0
2019-06-20T21:07:04, 18.0*C, 79.0%, 3
2019-06-20T22:07:07, 18.0*C, 79.0%, 4
2019-06-20T23:07:03, 18.0*C, 79.0%, 3
2019-06-21T00:07:03, 18.0*C, 80.0%, 0
2019-06-21T01:07:04, 18.0*C, 80.0%, 4
2019-06-21T02:07:03, 18.0*C, 80.0%, 0
2019-06-21T03:07:04, 18.0*C, 80.0%, 3
2019-06-21T04:07:12, 18.0*C, 80.0%, 0
2019-06-21T05:07:04, 18.0*C, 80.0%, 0
2019-06-21T06:07:04, 18.0*C, 80.0%, 0
2019-06-21T07:07:03, 18.0*C, 79.0%, 1
2019-06-21T08:07:06, 18.0*C, 80.0%, 0
2019-06-21T09:07:04, 18.0*C, 80.0%, 0
2019-06-21T10:07:03, 18.0*C, 80.0%, 0
2019-06-21T11:07:04, 18.0*C, 79.0%, 0
2019-06-21T12:07:04, 18.0*C, 78.0%, 1
2019-06-21T13:07:03, 18.0*C, 78.0%, 1
2019-06-21T14:07:07, 18.0*C, 79.0%, 2
2019-06-21T15:07:03, 18.0*C, 78.0%, 0
2019-06-21T16:07:03, 18.0*C, 79.0%, 0
2019-06-21T17:07:04, 18.0*C, 79.0%, 0
2019-06-21T18:07:06, 18.0*C, 79.0%, 0
2019-06-21T19:07:06, 18.0*C, 79.0%, 0
2019-06-21T20:07:04, 18.0*C, 79.0%, 0
2019-06-21T21:07:06, 18.0*C, 79.0%, 1
2019-06-21T22:07:04, 18.0*C, 79.0%, 0
2019-06-21T23:07:04, 18.0*C, 79.0%, 1
2019-06-22T00:07:04, 18.0*C, 79.0%, 1
2019-06-22T01:07:04, 18.0*C, 78.0%, 0
2019-06-22T02:07:04, 18.0*C, 78.0%, 0
2019-06-22T03:07:04, 18.0*C, 78.0%, 0
2019-06-22T04:07:04, 18.0*C, 78.0%, 0
2019-06-22T05:07:04, 18.0*C, 78.0%, 0
2019-06-22T06:07:04, 18.0*C, 77.0%, 0
2019-06-22T07:07:04, 18.0*C, 76.0%, 0
2019-06-22T08:07:06, 18.0*C, 74.0%, 0
2019-06-22T09:07:08, 18.0*C, 74.0%, 0
2019-06-22T10:07:04, 18.0*C, 74.0%, 0
2019-06-22T11:07:04, 18.0*C, 76.0%, 0
2019-06-22T12:07:04, 18.0*C, 75.0%, 0
2019-06-22T13:07:04, 18.0*C, 75.0%, 0
2019-06-22T14:07:03, 18.0*C, 75.0%, 0
2019-06-22T15:07:04, 18.0*C, 75.0%, 0
2019-06-22T16:07:03, 18.0*C, 76.0%, 0
2019-06-22T17:07:06, 18.0*C, 78.0%, 0
2019-06-22T18:07:07, 18.0*C, 78.0%, 1
2019-06-22T19:07:04, 18.0*C, 78.0%, 0
2019-06-22T20:07:06, 18.0*C, 79.0%, 0
2019-06-22T21:07:07, 18.0*C, 79.0%, 0
2019-06-22T22:07:08, 18.0*C, 78.0%, 0
2019-06-22T23:07:04, 18.0*C, 77.0%, 0
2019-06-23T00:07:04, 18.0*C, 77.0%, 0
2019-06-23T01:07:03, 18.0*C, 76.0%, 0
2019-06-23T02:07:04, 18.0*C, 76.0%, 0
2019-06-23T03:07:04, 18.0*C, 77.0%, 0
2019-06-23T04:07:04, 18.0*C, 77.0%, 0
2019-06-23T05:07:03, 18.0*C, 77.0%, 0
2019-06-23T06:07:04, 18.0*C, 77.0%, 0
2019-06-23T07:07:04, 18.0*C, 78.0%, 0
2019-06-23T08:07:06, 18.0*C, 78.0%, 0
2019-06-23T09:07:04, 18.0*C, 78.0%, 0
2019-06-23T10:07:12, 18.0*C, 78.0%, 0
2019-06-23T11:07:04, 18.0*C, 78.0%, 0
2019-06-23T12:07:04, 18.0*C, 78.0%, 0
2019-06-23T13:07:04, 18.0*C, 77.0%, 0
2019-06-23T14:07:04, 18.0*C, 77.0%, 0
2019-06-23T15:07:03, 18.0*C, 77.0%, 0
2019-06-23T16:07:04, 18.0*C, 77.0%, 0
